forget_cluster,eval_cluster,split,sample_index,layer,log_ppl_ratio
triplet_001,triplet_031,test,32,L3_spillover,0.14300681007061955
triplet_001,triplet_031,test,33,L3_spillover,0.04248580006186997
triplet_001,triplet_031,test,34,L3_spillover,0.04713930656659147
triplet_001,triplet_031,test,35,L3_spillover,0.07073655109177827
triplet_001,triplet_031,test,36,L3_spillover,0.09335064190312697
triplet_001,triplet_031,test,37,L3_spillover,0.013750493876693366
triplet_001,triplet_031,test,38,L3_spillover,0.0400944572018782
triplet_001,triplet_031,test,39,L3_spillover,0.10037071170078905
triplet_001,triplet_031,test,40,L3_spillover,0.043648764669013435
triplet_001,triplet_031,test,41,L3_spillover,0.06718113771537218
triplet_001,triplet_031,test,42,L3_spillover,0.028337975304456732
triplet_001,triplet_031,test,43,L3_spillover,0.04313949266061774
triplet_001,triplet_031,test,44,L3_spillover,0.01209692170882875
triplet_001,triplet_031,test,45,L3_spillover,0.08341823830481761
triplet_001,triplet_031,test,46,L3_spillover,0.032523191705560145
triplet_001,triplet_031,test,47,L3_spillover,0.30267894520329663
triplet_001,triplet_031,test,48,L3_spillover,0.08150908763403232
triplet_001,triplet_031,test,49,L3_spillover,0.031101702565587815
triplet_001,triplet_041,test,0,L3_spillover,0.08691908775510346
triplet_001,triplet_041,test,1,L3_spillover,0.08625092067921844
triplet_001,triplet_041,test,2,L3_spillover,0.05872528601278222
triplet_001,triplet_041,test,3,L3_spillover,0.16773458826207094
triplet_001,triplet_041,test,4,L3_spillover,0.08808340941819741
triplet_001,triplet_041,test,5,L3_spillover,0.03429939110681581
triplet_001,triplet_041,test,6,L3_spillover,0.022854543339463542
triplet_001,triplet_041,test,7,L3_spillover,0.03839681023028451
triplet_001,triplet_041,test,8,L3_spillover,0.032435275753153955
triplet_001,triplet_041,test,9,L3_spillover,0.10513424571682249
triplet_001,triplet_041,test,10,L3_spillover,0.06264756564187102
triplet_001,triplet_041,test,11,L3_spillover,0.16989903679539742
triplet_001,triplet_041,test,12,L3_spillover,0.004098366392282185
triplet_001,triplet_041,test,13,L3_spillover,0.1065606685485944
triplet_001,triplet_041,test,14,L3_spillover,0.07438030331008919
triplet_001,triplet_041,test,15,L3_spillover,0.0745172211874672
triplet_001,triplet_041,test,16,L3_spillover,0.028525424036533336
triplet_001,triplet_041,test,17,L3_spillover,0.05163670940797378
triplet_001,triplet_041,test,18,L3_spillover,0.09462181693344017
triplet_001,triplet_041,test,19,L3_spillover,0.06370404531874715
triplet_001,triplet_041,test,20,L3_spillover,0.12226429011128842
triplet_001,triplet_041,test,21,L3_spillover,0.0876831942806015
triplet_001,triplet_041,test,22,L3_spillover,0.03936435003948064
triplet_001,triplet_041,test,23,L3_spillover,0.09917118846178435
triplet_001,triplet_041,test,24,L3_spillover,0.14961361058295533
triplet_001,triplet_041,test,25,L3_spillover,0.057791125028408025
triplet_001,triplet_041,test,26,L3_spillover,0.19793005451113002
triplet_001,triplet_041,test,27,L3_spillover,0.09424565785152976
triplet_001,triplet_041,test,28,L3_spillover,0.03538939721424226
triplet_001,triplet_041,test,29,L3_spillover,0.0130720815673527
triplet_001,triplet_041,test,30,L3_spillover,0.09328292378848409
triplet_001,triplet_041,test,31,L3_spillover,0.04799739990319982
triplet_001,triplet_041,test,32,L3_spillover,0.07195678602105074
triplet_001,triplet_041,test,33,L3_spillover,0.09929069429075045
triplet_001,triplet_041,test,34,L3_spillover,0.0681674484107839
triplet_001,triplet_041,test,35,L3_spillover,0.09693224017619297
triplet_001,triplet_041,test,36,L3_spillover,0.1013524942602875
triplet_001,triplet_041,test,37,L3_spillover,0.04910547238582323
triplet_001,triplet_041,test,38,L3_spillover,0.12824085761733664
triplet_001,triplet_041,test,39,L3_spillover,0.14005567126550658
triplet_001,triplet_041,test,40,L3_spillover,0.1552538879519222
triplet_001,triplet_041,test,41,L3_spillover,0.13529998025646067
triplet_001,triplet_041,test,42,L3_spillover,0.18552435469847836
triplet_001,triplet_041,test,43,L3_spillover,0.19900124599261007
triplet_001,triplet_041,test,44,L3_spillover,0.07232066157962608
triplet_001,triplet_041,test,45,L3_spillover,0.09999998610284391
triplet_001,triplet_041,test,46,L3_spillover,0.172140996861837
triplet_001,triplet_041,test,47,L3_spillover,0.049832373747875754
triplet_001,triplet_041,test,48,L3_spillover,0.20013579306908177
triplet_001,triplet_041,test,49,L3_spillover,0.10416831590833893
triplet_001,triplet_051,test,0,L3_spillover,0.14693043185377136
triplet_001,triplet_051,test,1,L3_spillover,0.04024582856852653
triplet_001,triplet_051,test,2,L3_spillover,0.07892040624736894
triplet_001,triplet_051,test,3,L3_spillover,0.010084119066626226
triplet_001,triplet_051,test,4,L3_spillover,0.07268478028634612
triplet_001,triplet_051,test,5,L3_spillover,0.07281235547496749
triplet_001,triplet_051,test,6,L3_spillover,0.0665744906226699
triplet_001,triplet_051,test,7,L3_spillover,0.1218554131502157
triplet_001,triplet_051,test,8,L3_spillover,0.12288624107272901
